,gene,SRR1222460,SRR1222455,SRR1222450,SRR1222448,SRR1222456
71760,TraesCS5D02G069600,336.674,213.964,199.237,276.331,368.333
71761,TraesCS5D02G069700,49.5456,103.82,106.663,159.15,48.8454
71762,TraesCS5D02G069800,49.9444,56.6166,43.5258,31.6914,35.3013
71763,TraesCS5D02G069900,11.1974,17.4857,20.7184,34.9733,7.0
71767,TraesCS5D02G070300,11.6571,2.0,0.0,1.0,2.0
71768,TraesCS5D02G070400,8.11292,11.6264,9.19681,10.4719,4.25001
71769,TraesCS5D02G070500,8.0,3.0,1.0,5.0,11.1342
71770,TraesCS5D02G070600,6.32059,1.27923,4.06635,4.0,2.0
71771,TraesCS5D02G070700,23.034,24.8857,54.0137,50.2786,33.5272
71772,TraesCS5D02G070800,91.6812,100.909,134.349,116.531,54.4967
71773,TraesCS5D02G070900,71.2009,95.737,82.3411,129.669,56.1047
71774,TraesCS5D02G071000,50.2396,82.5817,81.0708,83.4245,61.4504
71775,TraesCS5D02G071100,54.962,100.921,97.1395,95.8903,57.3887
71777,TraesCS5D02G071300,2.20615283,4.17032212,6.66527,6.04635595,3.91240762
71778,TraesCS5D02G071400,10.73544,17.26837,38.1438,20.3874,11.01352
71779,TraesCS5D02G071500,16.669,7.64891,12.5823,14.6401,16.8103
71780,TraesCS5D02G071600,13.7182,5.0,4.0,6.78044,10.9082
71782,TraesCS5D02G071800,5.03495,8.02859,2.9394,2.47076,3.66195
71783,TraesCS5D02G071900,38.6458,24.0783,30.2648,15.8306,26.7402
71784,TraesCS5D02G072000,93.309,198.9063326232,339.0299267,233.67058000000003,79.988035
71785,TraesCS5D02G072100,25.695,14.3672,19.3771,34.7683,16.4518
71786,TraesCS5D02G072200,9.189869,16.28441,17.133600686592,23.029600445418,12.6863
71787,TraesCS5D02G072300,140.4346,228.1072,245.02750000000003,142.7127,115.5516
71788,TraesCS5D02G072400,13.282515129,23.08245474,17.1505,40.62788334,16.87111714
71789,TraesCS5D02G072500,79.2015,56.861,76.7581,93.9629,123.454
71790,TraesCS5D02G072600,2.75508,14.6452,25.6709,37.03382,4.162597000000001
71794,TraesCS5D02G073000,3.59774,9.68791,8.38033,5.2953,2.20412
71795,TraesCS5D02G073100,4.08016,8.26821,17.2344,16.6401,2.69978
71799,TraesCS5D02G073500,136.6981,109.393,128.864,179.8338,130.3187
71801,TraesCS5D02G073700,4.13625,11.7496,11.4702,9.31716,8.42372
71803,TraesCS5D02G073900,19.4086,9.7463,7.71116,21.7559,11.8695
71804,TraesCS5D02G074000,6.386,11.897,14.7283,12.7197,4.99745
71805,TraesCS5D02G074100,26.3428,42.1935,36.0831,60.28,18.3147
71807,TraesCS5D02G074300,10.3069,10.6415,3.01121,27.3061,28.5225
71808,TraesCS5D02G074400,27.03563802959,43.563022644,61.8243808819,42.50051820511551,23.5857026156068
71809,TraesCS5D02G074500,23.0442,135.317,74.9433,79.6079,6.92954
71810,TraesCS5D02G074600,12.6443,15.66856,10.1249,22.41296,14.128452
71812,TraesCS5D02G074800,6.73407,7.68217,11.2871,10.221,6.51348
71815,TraesCS5D02G075100,7.660876999999999,3.0,2.662742,1.3705699999999998,3.1342440000000003
71816,TraesCS5D02G075200,15.0856,29.6373000340011,17.0858,32.79670106443,15.519800397739
71821,TraesCS5D02G075800,13.7992,2.43611,2.79474,4.48,38.8757
71824,TraesCS5D02G076100,26.1576,44.2895,63.7745,51.5668,24.6211
71831,TraesCS5D02G076800,27.0,34.0,37.0,59.0,23.0
71833,TraesCS5D02G077000,16.65,9.67146,7.1935,5.10907,8.99411
71835,TraesCS5D02G077300,13.0138,26.6705,38.7045,23.7601,24.1253
71836,TraesCS5D02G077400,0.0,5.49595,2.93459,12.8975,2.0
71838,TraesCS5D02G077600,12.1844,39.2253,17.6066,37.3272,28.3095
71841,TraesCS5D02G077900,0.0,3.5959300383822,4.478949999999999,7.66116135741,0.0
71844,TraesCS5D02G078200,1.06584,7.00531,7.3025,6.05453,3.12778
71846,TraesCS5D02G078400,0.0,14.3484,5.80726,15.8985,2.41358
71847,TraesCS5D02G078500,4.0,37.6223,10.1756,30.9457,2.0
71849,TraesCS5D02G078700,77.1855,68.8157,75.8039,144.982,89.6107
71864,TraesCS5D02G080200,2.29295,2.0,5.30435,3.18246,4.0
71865,TraesCS5D02G080300,27.7536,36.0349,23.21338,15.306,18.052
71867,TraesCS5D02G080500,44.2309,69.71010569741,35.6441,37.7966,40.1732
71869,TraesCS5D02G080700,44.7857,127.175,81.0751,127.729,41.242
71870,TraesCS5D02G080800,8.459,16.6299,24.185,12.0464,19.6414
71872,TraesCS5D02G081000,23.4646,15.948,18.749,40.6383,14.1744
71873,TraesCS5D02G081100,16.4622,15.5149,15.8004,21.642,18.1068
71877,TraesCS5D02G081500,5.90863,3.50683,7.82183,8.43133,5.42258
71878,TraesCS5D02G081600,29.1424,48.8543,78.7778,83.7478,20.9096
71879,TraesCS5D02G081700,10.6442,11.5581,23.4884,70.4515,11.4972
71880,TraesCS5D02G081800,51.13,71.0214,59.4295,163.341,44.1072
71881,TraesCS5D02G081900,81.5058,167.48863274548202,186.06454,146.9556,64.696777
71882,TraesCS5D02G082000,15.685164,0.0,0.0,0.0,0.0
71886,TraesCS5D02G082400,91.77,197.375,205.358,244.061,86.1882
71889,TraesCS5D02G082700,3.72231,0.0,2.0,8.29736,1.18822
71890,TraesCS5D02G082800,5.72847,5.4525,9.41611,16.8796,6.71285
71893,TraesCS5D02G083100,99.6438,127.673,118.828,74.0563,77.3272
71896,TraesCS5D02G083400,25.0358,14.0682,37.3998,37.4275,24.7656
71898,TraesCS5D02G083600,26.700806224,59.3620962,76.02699999999999,123.21669349,25.8745
71901,TraesCS5D02G083900,44.3374,28.7412,34.3258,30.8389,29.9036
71904,TraesCS5D02G084200,7.13456,7.49555,14.7308,1.99055,16.6637
71905,TraesCS5D02G084300,22.0362,13.0,10.6045,10.9122,24.0
71906,TraesCS5D02G084400,1.23073,3.32085,2.19156,4.22464,7.28029
71907,TraesCS5D02G084600,25.3018,22.0349,17.1685,22.463,41.6778
71908,TraesCS5D02G084700,3.34062,5.75417,8.59926,7.10176,11.1116
71909,TraesCS5D02G084800,186.244,104.026,137.64,140.23,130.161
71910,TraesCS5D02G084900,18.7663,10.8919,6.8238,15.0839,13.1702
71911,TraesCS5D02G085100,39.062,35.8569,25.9763,29.4254,27.1208
71912,TraesCS5D02G085200,8.574,31.2131,42.6695,65.1978,23.6696
71913,TraesCS5D02G085300,27.2255,27.5943,20.4831,44.9636,32.5133
71915,TraesCS5D02G085500,937.2755,1558.3234,800.3863000732752,263.261000188564,871.4149
71917,TraesCS5D02G085700,26.7804,22.205,36.4109,40.4532,44.0603
71918,TraesCS5D02G085800,19.5764,11.7622,17.4197,23.5428,25.3349
71920,TraesCS5D02G086000,9.02373,5.10892,6.97426,10.2459,10.3762
71928,TraesCS5D02G086800,3.17561,18.9771,24.4451,18.0392,6.37544
71929,TraesCS5D02G086900,5.96764,17.8394,13.7154,15.3351,1.71491
71934,TraesCS5D02G087400,497.343,231.112,240.803,425.277,430.5
71935,TraesCS5D02G087500,206.93,159.224,196.335,238.935,143.115
71936,TraesCS5D02G087600,51.9218,74.95783,105.9432,94.965521,75.0794000916653
71937,TraesCS5D02G087700,7.606257999999999,22.52887,37.7014,28.7566,12.06333
71938,TraesCS5D02G087800,17.30610017516,51.144100544472,59.1501000503452,45.049000487729,18.103500177162
71939,TraesCS5D02G087900,151.32,146.672,229.664,284.397,75.7738
71941,TraesCS5D02G088100,39.1999,53.2991,38.5941,68.9376,10.3853
71942,TraesCS5D02G088300,31.023957897200003,109.57642009639608,133.91335274399998,61.62644,29.16561
71943,TraesCS5D02G088400,75.6792,136.199,157.012,144.014,90.4878
71945,TraesCS5D02G088600,0.0,9.0,7.90159,14.1566,1.0
71947,TraesCS5D02G088800,30.2678,40.7259,84.2808,86.2007,45.8057
71948,TraesCS5D02G088900,30.6506,30.4647,24.7542,36.6286,39.4788
71949,TraesCS5D02G089000,303.607,148.209,175.171,165.703,226.789
71951,TraesCS5D02G089200,22.4221,5.96018,2.81615,8.50651,28.1586
71952,TraesCS5D02G089300,23.357693444,152.5250033515819,101.859,167.9721,22.559800906242
71954,TraesCS5D02G089500,5.03518,2.81419,1.26504,4.09292,5.90354
71956,TraesCS5D02G089700,65.7063,119.81124,126.0025,107.66427,60.82990063
71958,TraesCS5D02G089900,14.9177,16.2763,15.7491,16.5823,14.7064
71959,TraesCS5D02G090000,7.7493079,24.138160000000003,23.61833,37.8679,3.95298
71960,TraesCS5D02G090100,2.88204,43.6301,51.3558,120.18679,23.5541
71961,TraesCS5D02G090300,28.8654336127,24.7927,49.43833146,35.722604999999994,16.675055
71962,TraesCS5D02G090400,28.6279,28.2079,53.736,75.3546,16.2322
71963,TraesCS5D02G090500,15.7287,22.4405,33.8166,15.5832,16.4347
71965,TraesCS5D02G090700,4.18963,0.0,5.26448,6.86414,0.0
71966,TraesCS5D02G090800,4.13168,22.3328,19.6825,0.0,2.29693
71967,TraesCS5D02G090900,67.5625,37.0354,39.1126,36.6853,36.978
71968,TraesCS5D02G091000,29.1872,20.4001,9.30384,23.616,19.4472
71970,TraesCS5D02G091200,11.371891,37.4152,46.246,54.3491,0.0
71971,TraesCS5D02G091300,37.2215,15.0,10.0664,20.8804,33.0
71977,TraesCS5D02G092000,57.6918,57.1395,60.0897,80.7907,54.4808
71978,TraesCS5D02G092100,3.0,6.0,6.4749,1.55533,9.19201
71980,TraesCS5D02G092300,5.15358,56.22119,61.4796,70.1624,8.97018
71983,TraesCS5D02G092600,7.36275,32.28495,36.1012,38.9657,13.158
71984,TraesCS5D02G092700,4.16431,12.6748,12.156,23.2846,8.47344
71985,TraesCS5D02G092800,30.2917,44.7996,28.9001,54.4304,14.856
71987,TraesCS5D02G093100,5.75172,0.0,11.1354,4.18892,1.21626
71988,TraesCS5D02G093200,75.8031,48.4386,61.31180312,196.383,151.065
71990,TraesCS5D02G093400,44.4578,47.2059,53.5539,67.0582,58.8804
71991,TraesCS5D02G093500,0.0,7.0,8.20312,5.0,0.0
