gene,SRR1222460,SRR1222455,SRR1222450,SRR1222448,SRR1222456
TraesCS1D02G160800,2.321928094887362,3.700439718141092,3.584962500721156,4.169925001442312,2.807354922057604
TraesCS5B02G226200,3.169925001442312,4.754887502163468,4.459431618637297,5.0,2.584962500721156
TraesCS3A02G250200,5.247927513443585,6.149747119504682,5.554588851677638,6.459431618637297,4.954196310386875
TraesCS5A02G065300,2.584962500721156,4.087462841250339,3.321928094887362,3.4594316186372973,2.807354922057604
TraesCS2B02G309800,4.169925001442312,4.247927513443585,4.392317422778761,4.087462841250339,3.584962500721156
TraesCS3D02G279600,2.584962500721156,2.0,1.0,1.584962500721156,2.321928094887362
TraesCS3D02G279600,2.584962500721156,2.0,1.0,1.584962500721156,2.321928094887362
TraesCS2B02G539600,4.807354922057604,4.523561956057013,5.0,5.285402218862249,4.754887502163468
TraesCS1B02G142400,8.388017285345136,8.113742166049189,7.813781191217037,8.632995197142957,8.422064766172813
TraesCS7A02G096800,3.169925001442312,3.4594316186372973,4.169925001442312,4.0,3.807354922057604
TraesCS7B02G472700,1.584962500721156,4.169925001442312,4.584962500721156,4.321928094887363,3.0
TraesCS5B02G073200,2.321928094887362,2.321928094887362,2.321928094887362,2.321928094887362,1.0
TraesCS3B02G470900,3.4594316186372973,4.523561956057013,4.169925001442312,4.087462841250339,5.392317422778761
TraesCS2A02G117900,1.0,1.584962500721156,3.807354922057604,3.9068905956085187,1.0
TraesCS2A02G117900,1.0,1.584962500721156,3.807354922057604,3.807354922057604,1.0
TraesCS2A02G117900,1.584962500721156,2.0,4.321928094887363,4.321928094887363,1.584962500721156
TraesCS2A02G321600,1.584962500721156,2.0,2.807354922057604,2.0,2.807354922057604
TraesCS3D02G001300,3.584962500721156,2.321928094887362,1.584962500721156,3.169925001442312,2.584962500721156
TraesCS3B02G046500,2.321928094887362,2.807354922057604,2.807354922057604,2.807354922057604,2.321928094887362
TraesCS3B02G046500,2.321928094887362,2.807354922057604,2.807354922057604,2.807354922057604,2.321928094887362
TraesCS3B02G046500,2.807354922057604,3.169925001442312,3.321928094887362,3.169925001442312,2.584962500721156
TraesCS3B02G174000,1.0,1.584962500721156,2.0,1.584962500721156,1.584962500721156
TraesCS6D02G248200,3.807354922057604,4.321928094887363,4.0,4.584962500721156,4.0
TraesCS1A02G264200,3.4594316186372973,3.169925001442312,3.321928094887362,3.169925001442312,3.169925001442312
TraesCS3D02G068000,5.321928094887363,4.169925001442312,4.169925001442312,3.9068905956085187,5.247927513443585
TraesCS1B02G287100,5.0,6.087462841250339,6.357552004618084,5.247927513443585,5.0
TraesCS4D02G098500,5.044394119358453,5.357552004618084,5.614709844115208,5.554588851677638,4.807354922057604
TraesCS6A02G389200,5.285402218862249,4.523561956057013,3.584962500721156,3.9068905956085187,4.169925001442312
TraesCS7B02G383900,7.569855608330948,6.022367813028454,6.087462841250339,5.643856189774724,6.285402218862249
TraesCS7B02G383900,7.584962500721156,6.044394119358453,6.108524456778169,5.643856189774724,6.303780748177103
TraesCS7B02G383900,7.507794640198696,5.977279923499917,6.044394119358453,5.584962500721156,6.22881869049588
TraesCS5A02G403400,2.321928094887362,2.0,2.321928094887362,2.321928094887362,2.0
TraesCS5A02G403400,2.0,1.584962500721156,2.0,2.0,1.584962500721156
TraesCS3B02G182700,2.321928094887362,2.584962500721156,3.321928094887362,2.807354922057604,2.0
TraesCS3B02G182700,2.584962500721156,2.807354922057604,3.4594316186372973,3.0,2.0
TraesCS4B02G032800,5.614709844115208,4.459431618637297,3.9068905956085187,4.321928094887363,4.321928094887363
TraesCS5A02G454500,5.857980995127572,5.392317422778761,5.129283016944966,5.169925001442312,4.906890595608519
TraesCS4A02G351200,2.807354922057604,3.700439718141092,4.247927513443585,2.807354922057604,3.584962500721156
TraesCS6D02G272500,5.20945336562895,5.672425341971495,5.321928094887363,5.754887502163468,5.247927513443585
TraesCS4A02G262600,5.087462841250339,4.857980995127572,4.584962500721156,5.672425341971495,5.357552004618084
TraesCS4A02G262600,4.954196310386875,4.700439718141092,4.459431618637297,5.523561956057013,5.20945336562895
TraesCS2B02G479500,2.321928094887362,2.807354922057604,2.321928094887362,2.584962500721156,2.584962500721156
TraesCS3A02G433900,1.584962500721156,4.169925001442312,3.584962500721156,4.523561956057013,1.584962500721156
TraesCS7B02G182200,4.392317422778761,4.392317422778761,4.459431618637297,4.459431618637297,4.459431618637297
TraesCS5D02G111400,4.392317422778761,4.392317422778761,4.643856189774724,4.0,3.9068905956085187
TraesCS3B02G197400,3.700439718141092,2.584962500721156,2.584962500721156,2.321928094887362,3.9068905956085187
TraesCS2B02G278100,2.321928094887362,3.584962500721156,4.247927513443585,3.584962500721156,3.4594316186372973
TraesCS3A02G320800,4.459431618637297,3.807354922057604,3.9068905956085187,4.906890595608519,4.321928094887363
TraesCS4A02G229800,3.321928094887362,3.9068905956085187,3.700439718141092,4.087462841250339,2.584962500721156
